Name,ETH Wallet,Handle,Discord,Invited By,Link to Tweet
51991,0xC7cb454CEFD11A346C5307D4865b5bB687aaad46,51991eth,51991,Maning,https://x.com/51991eth/status/1861036260611002650
!Xabbu,0x18A428CE0c31584a21CF8ceFDb8849d8013E1994,0x_5_3,xabbu,Mirror,https://x.com/0x_5_3/status/1858012286612324626
#1 crush,0xd15d229Fd52240F8030Fa4694294189ED1DfBE4d,num1crush,num1crush,lorepunk,https://x.com/num1crush/status/1855655129938006292
0009,0x071642731357694B43567E961C6B99647962A8c7,_0_0_0_9_,0009.eth,GrandCru89,https://x.com/_0_0_0_9_/status/1862657365956600175?s=46&t=fb8E8_TZ1F7gwXoaGluwzw
0x20,0x1F97C3e6Eae10e5A6D0897f3f26b055693b4Cf18,cryptospaces1,cryptospaces,Dark0,https://x.com/CryptoSpaces1/status/1862536626934513722
0xAllen,0x1E815a8188F1b84564577C1c998f7E6B4706B752,0xAllen_,0xallen,Justin Trimble,https://x.com/0xAllen_/status/1862348158899994674
0xartur,0x2ab6a645a9c95217486610aef128647dc6711ac5,0xartur,0xartur,Max,https://x.com/0xArtur/status/1862521552840913107
0xdelo,0xD34788e2F96758972C27678725808E50eF843f01,0xdelo,0xdelo,Haackas,https://x.com/0xDelo/status/1862006944728293870
0xEND,0xa76b00d8fE77807edC51a87DBCEAbb623701d9D7,0xend,0x.end,Max,https://x.com/0xend/status/1861048964998402526
0xsalv,0x066b96c7d6bb8e969bde0782485ecb5403f41710,0xsalv,salvatore_xyz,Lamine23,https://x.com/0xsalv/status/1862427832170738019
0xThinkers,0xBEf71a17d8813481F1Cb4DE4d02Ccfc3a27E43A5,xthinkers,0xThinkers,Pipehitter.eth,https://x.com/0xthinkers/status/1862520821949903111?s=46&t=BIyxaW52ulVfGIdbcfRl2g
10x,0x6cB25D5434B95A702E4b82b354703E9a3711F080,10x_it,tenxit,Max,https://x.com/10x_it/status/1847657143698411697
1ashtray,0xe73EbE7F5D5DfA7dEdbf419a4658dF486108fcD9,cryptoscraft,1ashtray,Ferloko,https://x.com/CryptosCraft/status/1862566121527800057?t=eFoOzuUxozSmrXsxyndvOw&s=19
4chanintern,0x465FF8830Cc567452cCb449f03D120D17E8EDF5b,4chanintern,soju9141,Zoroaark,https://x.com/4chanintern/status/1862159129600487503
7elevenintern,0xdD7C9B8f06A6290404573AD3276D6b43D6261AEE,7elevenintern,yamatobtc,zoroaarketh,https://x.com/7elevenintern/status/1862537495356809279
7lcm7,0x69b02E16F3818D6211071E08E19f42944B90D1E7,7lcm7,7lcm7,dima66,https://x.com/7lcm7/status/1858653024178037050
7YYY1,0xb74893598C88AEa4ba778F1A4EdEFcbD998496e9,Adilose_qr,5969,Flexkozla,https://x.com/Adilose_qr/status/1858644485934080272
8-Bit,0x769cfDba1E0B6d607Dab8ffCbe685Ba1A142cD05,0x8BitArt,0x8Bit,ol1y,https://x.com/0x8BitArt/status/1846911850845294858
A. Moret,0x8dCbfe2B5A7c9b6A7a3DE0F69341A966A729c7A4,installationmagazine,installationmagazine,rainerhosch,https://x.com/installationmag/status/1851676150596313396?s=46
Aaron Blaisdell,0x2Cfa2aD0c4a8dAe1248C35096F812beb014A514A,aaronblaisdell,pigeon1191,MrMeridian,https://x.com/AaronBlaisdell/status/1860912809820958891
abamba,0xb965603c7D99ce1dACd91EecB8CA9C0D061b4c60,abamba,abamba,rainerhosch,https://x.com/abamba/status/1852996823293595695?s=19
Abfro,0x7858F91c6752400F2234584A25006335bE6D09Bb,abfr0x,abfro,beautiFool,https://x.com/abfr0x/status/1862357750010851449?t=m7HQPylWfJthzI-eokuAAA&s=19
Abrahanny,0xBE18b77B7045d42505452A223a4089c7A257c093,Abrahannyr,Abrahanny,DappPunk,https://x.com/AbrahannyR/status/1849469858133451071
abroegger8,0xe21e1768dafdB86dBA2C93e9B34bdC9f13464a69,alexandery_b,abroegger8,djtsoi,https://twitter.com/alexandery_b/status/1857099297793122389
